epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7830.33,1.16181,0.6979,1.4584,0.92348,0.92484,0.95289,0.53249,1.55431,0.67028,1.80703,0.000643101,0.000643101,0.000643101
43,8011.74,1.16621,0.67922,1.46365,0.93456,0.92205,0.96015,0.53224,1.56762,0.66759,1.78125,0.000628101,0.000628101,0.000628101
44,8197.3,1.1476,0.67251,1.44343,0.92388,0.92267,0.95877,0.53704,1.5761,0.65603,1.81394,0.000612981,0.000612981,0.000612981
45,8384.55,1.14983,0.67001,1.4526,0.9409,0.89151,0.95081,0.53509,1.53254,0.68306,1.76168,0.000597754,0.000597754,0.000597754
46,8570.67,1.13121,0.66623,1.43884,0.94411,0.91155,0.9605,0.53807,1.56026,0.66551,1.76565,0.000582435,0.000582435,0.000582435
47,8758.62,1.127,0.65949,1.43271,0.9405,0.90114,0.95569,0.53276,1.55067,0.68056,1.77508,0.00056704,0.00056704,0.00056704
48,8944.42,1.10967,0.66455,1.42145,0.93991,0.91727,0.96664,0.54817,1.54691,0.65589,1.79841,0.000551584,0.000551584,0.000551584
49,9137.56,1.11136,0.6668,1.43194,0.95043,0.91744,0.96337,0.55645,1.50515,0.66157,1.73416,0.000536081,0.000536081,0.000536081
50,9330.39,1.0985,0.63502,1.41079,0.91035,0.92691,0.96031,0.54486,1.53926,0.65153,1.78802,0.000520548,0.000520548,0.000520548
51,9514.95,1.09855,0.6394,1.40986,0.94107,0.91287,0.95646,0.53153,1.55455,0.66013,1.81986,0.000505,0.000505,0.000505
52,9702.31,1.04775,0.61239,1.37857,0.94943,0.89501,0.95882,0.53762,1.54745,0.66332,1.80912,0.000489452,0.000489452,0.000489452
53,9889.92,1.0648,0.61691,1.38649,0.91073,0.93213,0.95717,0.54436,1.52147,0.66189,1.77903,0.000473919,0.000473919,0.000473919
54,10074.8,1.04317,0.60841,1.37225,0.92779,0.90755,0.95411,0.53806,1.54414,0.66291,1.81798,0.000458416,0.000458416,0.000458416
55,10262.8,1.03892,0.60333,1.37055,0.90676,0.92138,0.95055,0.53782,1.5242,0.6688,1.79061,0.00044296,0.00044296,0.00044296
56,10448.5,1.03137,0.59011,1.36291,0.93368,0.92644,0.96113,0.53065,1.56503,0.66478,1.84303,0.000427565,0.000427565,0.000427565
57,10633.2,1.02973,0.59642,1.35763,0.92024,0.92997,0.9588,0.54924,1.52546,0.61474,1.79901,0.000412246,0.000412246,0.000412246
58,10819.9,1.02498,0.58428,1.3488,0.93888,0.94538,0.96744,0.55802,1.51265,0.61798,1.78392,0.000397019,0.000397019,0.000397019
59,11017.8,1.00659,0.58909,1.33946,0.91665,0.92404,0.95915,0.54863,1.51604,0.64984,1.78833,0.000381899,0.000381899,0.000381899
60,11207.5,0.9923,0.57231,1.32825,0.94304,0.93863,0.97091,0.55857,1.52536,0.62036,1.80972,0.000366899,0.000366899,0.000366899
61,11400.8,0.98247,0.55517,1.32225,0.9482,0.92714,0.96584,0.54993,1.52167,0.62465,1.77349,0.000352037,0.000352037,0.000352037
62,11588.5,0.97183,0.5577,1.3072,0.92285,0.94787,0.96545,0.55151,1.53384,0.62204,1.83132,0.000337325,0.000337325,0.000337325
63,11774.1,0.95821,0.54796,1.30199,0.92956,0.93882,0.96387,0.54193,1.54192,0.60646,1.82674,0.000322778,0.000322778,0.000322778
64,11959.6,0.9577,0.54808,1.30483,0.94597,0.90525,0.95452,0.54896,1.53916,0.6213,1.82281,0.000308412,0.000308412,0.000308412
65,12148.6,0.95835,0.55018,1.30112,0.93346,0.92886,0.95433,0.55001,1.53868,0.62269,1.85937,0.000294239,0.000294239,0.000294239
66,12334.6,0.95419,0.55064,1.29956,0.92312,0.91879,0.95759,0.54575,1.55137,0.61143,1.83268,0.000280275,0.000280275,0.000280275
67,12520.2,0.9316,0.53245,1.28002,0.95936,0.92417,0.96876,0.55545,1.53493,0.59731,1.85677,0.000266532,0.000266532,0.000266532
68,12706.7,0.92547,0.5406,1.27769,0.93984,0.94595,0.96854,0.55525,1.52934,0.60255,1.86041,0.000253024,0.000253024,0.000253024
69,12893,0.91707,0.53621,1.27346,0.93835,0.93149,0.96045,0.55894,1.52102,0.59769,1.86296,0.000239766,0.000239766,0.000239766
70,13087.8,0.90262,0.515,1.26217,0.95197,0.9103,0.95787,0.55225,1.53754,0.6063,1.89364,0.000226769,0.000226769,0.000226769
71,13273.7,0.90322,0.51857,1.26212,0.94668,0.92396,0.95946,0.54991,1.5314,0.59614,1.88785,0.000214046,0.000214046,0.000214046
72,13459.8,0.90042,0.52567,1.25965,0.94591,0.92461,0.96038,0.54992,1.53338,0.60161,1.86138,0.000201611,0.000201611,0.000201611
73,13646.6,0.88733,0.51302,1.2476,0.93656,0.94097,0.96499,0.55472,1.52124,0.59139,1.85128,0.000189475,0.000189475,0.000189475
74,13833.2,0.88566,0.51227,1.24813,0.94583,0.9316,0.9633,0.55068,1.53566,0.59417,1.85927,0.000177651,0.000177651,0.000177651
75,14019,0.85586,0.49116,1.2296,0.94419,0.93664,0.96587,0.5487,1.53793,0.59345,1.88523,0.000166149,0.000166149,0.000166149
76,14205.4,0.8744,0.50864,1.24602,0.9485,0.92343,0.96741,0.54509,1.53318,0.61074,1.88927,0.000154982,0.000154982,0.000154982
77,14387.3,0.86848,0.49888,1.23656,0.95492,0.9166,0.96283,0.54952,1.53441,0.60112,1.8822,0.000144161,0.000144161,0.000144161
78,14574,0.86309,0.49943,1.23219,0.95469,0.92535,0.96791,0.55258,1.52354,0.59277,1.87989,0.000133695,0.000133695,0.000133695
79,14759.3,0.84558,0.48385,1.21552,0.94161,0.92888,0.9615,0.54512,1.54598,0.59977,1.90718,0.000123596,0.000123596,0.000123596
80,14943.9,0.83363,0.46856,1.21413,0.94503,0.93301,0.96377,0.55031,1.54392,0.60869,1.91522,0.000113873,0.000113873,0.000113873
81,15130.5,0.84323,0.48143,1.21379,0.95386,0.92877,0.96602,0.54917,1.54232,0.59474,1.91199,0.000104537,0.000104537,0.000104537
82,15313.2,0.83155,0.48447,1.2128,0.96118,0.92458,0.96931,0.54805,1.55194,0.5922,1.93435,9.55951e-05,9.55951e-05,9.55951e-05
83,15500.5,0.82756,0.47643,1.20836,0.95365,0.93898,0.96871,0.54507,1.55396,0.59989,1.92691,8.70577e-05,8.70577e-05,8.70577e-05
84,15687.1,0.82326,0.4783,1.20061,0.94032,0.9343,0.9671,0.54855,1.55123,0.60213,1.93086,7.89327e-05,7.89327e-05,7.89327e-05
85,15878.4,0.82719,0.47367,1.20771,0.97366,0.91436,0.96835,0.54437,1.54601,0.5982,1.9208,7.12282e-05,7.12282e-05,7.12282e-05
86,16064.5,0.81691,0.47246,1.20946,0.9425,0.93567,0.96762,0.54653,1.55096,0.60134,1.91348,6.39518e-05,6.39518e-05,6.39518e-05
87,16246.9,0.80621,0.46164,1.189,0.95627,0.93549,0.96942,0.55059,1.54553,0.59466,1.91446,5.71106e-05,5.71106e-05,5.71106e-05
88,16433.4,0.81994,0.47117,1.20526,0.95419,0.93523,0.96682,0.54593,1.53608,0.59882,1.91792,5.07115e-05,5.07115e-05,5.07115e-05
89,16619.9,0.79762,0.45613,1.18321,0.95723,0.93403,0.96624,0.54665,1.54338,0.59829,1.93679,4.47606e-05,4.47606e-05,4.47606e-05
