epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3235.35,1.23436,0.71544,1.34163,0.94422,0.90727,0.95036,0.55933,1.46573,0.66443,1.67701,0.000643101,0.000643101,0.000643101
43,3312.32,1.20492,0.68386,1.3362,0.94273,0.90662,0.96114,0.57132,1.41581,0.63507,1.64657,0.000628101,0.000628101,0.000628101
44,3388.91,1.18864,0.69453,1.33322,0.95162,0.89818,0.95333,0.56429,1.44428,0.62579,1.6556,0.000612981,0.000612981,0.000612981
45,3464.65,1.19085,0.68387,1.32802,0.91797,0.90088,0.94964,0.56074,1.4705,0.6813,1.66504,0.000597754,0.000597754,0.000597754
46,3540.46,1.20481,0.69296,1.32818,0.94662,0.88443,0.95158,0.54276,1.48079,0.67946,1.70532,0.000582435,0.000582435,0.000582435
47,3615.97,1.16804,0.66848,1.30874,0.92731,0.89335,0.94484,0.55664,1.48196,0.64871,1.68405,0.00056704,0.00056704,0.00056704
48,3690.99,1.17251,0.67348,1.31124,0.92664,0.92293,0.95084,0.55826,1.44028,0.66394,1.65582,0.000551584,0.000551584,0.000551584
49,3766.08,1.14348,0.63782,1.28261,0.94273,0.91836,0.95845,0.5631,1.46607,0.64015,1.68171,0.000536081,0.000536081,0.000536081
50,3841.58,1.11392,0.63917,1.27211,0.94152,0.90398,0.95074,0.56709,1.41481,0.6395,1.65057,0.000520548,0.000520548,0.000520548
51,3917.57,1.12416,0.64193,1.27516,0.96311,0.90749,0.96767,0.5719,1.43514,0.61492,1.65087,0.000505,0.000505,0.000505
52,3999.25,1.11526,0.63988,1.27699,0.95547,0.89494,0.95793,0.57308,1.43188,0.62388,1.64644,0.000489452,0.000489452,0.000489452
53,4081.64,1.09177,0.62472,1.25464,0.94966,0.89949,0.95924,0.56503,1.44146,0.61643,1.68384,0.000473919,0.000473919,0.000473919
54,4157.52,1.0798,0.61326,1.24678,0.94785,0.88956,0.9419,0.56277,1.46305,0.649,1.67117,0.000458416,0.000458416,0.000458416
55,4233.82,1.09082,0.61244,1.2559,0.94711,0.89766,0.95869,0.57108,1.43852,0.62442,1.68831,0.00044296,0.00044296,0.00044296
56,4309.86,1.07895,0.59844,1.24084,0.94146,0.90306,0.94746,0.56697,1.44712,0.62124,1.68804,0.000427565,0.000427565,0.000427565
57,4386.27,1.06502,0.59522,1.22633,0.93974,0.90677,0.95444,0.57565,1.44014,0.61384,1.69223,0.000412246,0.000412246,0.000412246
58,4466.99,1.0427,0.57656,1.23115,0.94848,0.9035,0.95844,0.5726,1.44488,0.63062,1.69298,0.000397019,0.000397019,0.000397019
59,4542.26,1.03173,0.57119,1.22126,0.94937,0.91199,0.95757,0.56937,1.46035,0.62695,1.70644,0.000381899,0.000381899,0.000381899
